Trial,SOA,Target,Response,Accuracy,randomGator
91,120,tr,tl,0,Araripesuchus_wegeneri
92,150,br,tr,0,Araripesuchus_wegeneri
93,0,tl,bl,0,Araripesuchus_wegeneri
94,150,tl,br,0,Araripesuchus_wegeneri
95,0,tl,bl,0,Araripesuchus_wegeneri
96,150,bl,tl,0,Araripesuchus_wegeneri
97,30,bl,bl,1,Araripesuchus_wegeneri
98,120,br,br,1,Araripesuchus_wegeneri
99,0,br,br,1,Araripesuchus_wegeneri
100,90,tr,bl,0,Araripesuchus_wegeneri
101,30,tr,tl,0,Araripesuchus_wegeneri
102,60,bl,bl,1,Araripesuchus_wegeneri
103,120,tl,bl,0,Araripesuchus_wegeneri
104,150,br,tl,0,Araripesuchus_wegeneri
105,0,tr,bl,0,Araripesuchus_wegeneri
106,120,bl,br,0,Araripesuchus_wegeneri
107,60,bl,bl,1,Araripesuchus_wegeneri
108,60,tl,bl,0,Araripesuchus_wegeneri
109,90,bl,tr,0,Araripesuchus_wegeneri
110,90,tr,bl,0,Araripesuchus_wegeneri
111,60,br,tl,0,Araripesuchus_wegeneri
112,0,br,bl,0,Araripesuchus_wegeneri
113,120,tl,bl,0,Araripesuchus_wegeneri
114,150,bl,tl,0,Araripesuchus_wegeneri
115,180,tl,br,0,Araripesuchus_wegeneri
116,180,br,br,1,Araripesuchus_wegeneri
117,30,tl,tr,0,Araripesuchus_wegeneri
118,30,tr,bl,0,Araripesuchus_wegeneri
119,90,tl,tl,1,Araripesuchus_wegeneri
120,90,tl,tl,1,Araripesuchus_wegeneri
121,60,tr,tl,0,Araripesuchus_wegeneri
122,150,bl,bl,1,Araripesuchus_wegeneri
123,180,tr,bl,0,Araripesuchus_wegeneri
124,90,br,tl,0,Araripesuchus_wegeneri
125,150,tr,tr,1,Araripesuchus_wegeneri
126,0,br,br,1,Araripesuchus_wegeneri
127,60,br,br,1,Araripesuchus_wegeneri
128,180,bl,bl,1,Araripesuchus_wegeneri
129,0,bl,tl,0,Araripesuchus_wegeneri
130,30,bl,bl,1,Araripesuchus_wegeneri
131,120,tr,tr,1,Araripesuchus_wegeneri
132,90,tl,tr,0,Araripesuchus_wegeneri
133,60,br,tl,0,Araripesuchus_wegeneri
134,150,bl,bl,1,Araripesuchus_wegeneri
135,120,br,bl,0,Araripesuchus_wegeneri
136,150,tr,tl,0,Araripesuchus_wegeneri
137,30,bl,bl,1,Araripesuchus_wegeneri
138,180,bl,bl,1,Araripesuchus_wegeneri
139,0,bl,bl,1,Araripesuchus_wegeneri
140,90,tl,tl,1,Araripesuchus_wegeneri
141,180,bl,bl,1,Araripesuchus_wegeneri
142,30,br,tr,0,Araripesuchus_wegeneri
143,30,bl,bl,1,Araripesuchus_wegeneri
144,30,tl,tl,1,Araripesuchus_wegeneri
145,120,bl,bl,1,Araripesuchus_wegeneri
146,90,tl,tl,1,Araripesuchus_wegeneri
147,60,tl,bl,0,Araripesuchus_wegeneri
148,60,tl,br,0,Araripesuchus_wegeneri
149,30,br,tl,0,Araripesuchus_wegeneri
150,30,br,tr,0,Araripesuchus_wegeneri
151,0,tl,tl,1,Araripesuchus_wegeneri
152,180,tl,bl,0,Araripesuchus_wegeneri
153,150,br,bl,0,Araripesuchus_wegeneri
154,120,bl,bl,1,Araripesuchus_wegeneri
155,90,br,bl,0,Araripesuchus_wegeneri
156,90,tr,br,0,Araripesuchus_wegeneri
157,90,bl,br,0,Araripesuchus_wegeneri
158,120,tl,tl,1,Araripesuchus_wegeneri
159,0,tl,br,0,Araripesuchus_wegeneri
160,90,br,br,1,Araripesuchus_wegeneri
161,30,tl,tr,0,Araripesuchus_wegeneri
162,60,br,bl,0,Araripesuchus_wegeneri
163,180,tl,br,0,Araripesuchus_wegeneri
164,90,bl,br,0,Araripesuchus_wegeneri
165,60,tl,bl,0,Araripesuchus_wegeneri
166,150,tl,tl,1,Araripesuchus_wegeneri
167,120,tl,br,0,Araripesuchus_wegeneri
168,30,br,br,1,Araripesuchus_wegeneri
169,150,tr,tr,1,Araripesuchus_wegeneri
170,90,br,tr,0,Araripesuchus_wegeneri
171,0,tl,bl,0,Araripesuchus_wegeneri
172,0,br,br,1,Araripesuchus_wegeneri
173,60,tl,br,0,Araripesuchus_wegeneri
174,120,tl,br,0,Araripesuchus_wegeneri
175,90,bl,bl,1,Araripesuchus_wegeneri
176,0,tr,tr,1,Araripesuchus_wegeneri
177,30,tr,tr,1,Araripesuchus_wegeneri
178,120,tr,br,0,Araripesuchus_wegeneri
179,30,br,br,1,Araripesuchus_wegeneri
180,60,tr,tr,1,Araripesuchus_wegeneri
181,120,tl,bl,0,Araripesuchus_wegeneri
182,120,br,tl,0,Araripesuchus_wegeneri
183,90,br,bl,0,Araripesuchus_wegeneri
184,180,tl,br,0,Araripesuchus_wegeneri
185,0,tl,br,0,Araripesuchus_wegeneri
186,120,bl,br,0,Araripesuchus_wegeneri
187,30,tr,tr,1,Araripesuchus_wegeneri
188,120,bl,bl,1,Araripesuchus_wegeneri
189,120,tr,bl,0,Araripesuchus_wegeneri
190,150,tl,tl,1,Araripesuchus_wegeneri
191,60,tr,tr,1,Araripesuchus_wegeneri
192,90,br,bl,0,Araripesuchus_wegeneri
193,60,tr,bl,0,Araripesuchus_wegeneri
194,60,br,br,1,Araripesuchus_wegeneri
195,30,tr,br,0,Araripesuchus_wegeneri
196,60,tr,tr,1,Araripesuchus_wegeneri
1,90,tr,br,0,Calsoyasuchus_valliceps
2,180,bl,bl,1,Calsoyasuchus_valliceps
3,120,tl,tr,0,Calsoyasuchus_valliceps
4,30,tl,tl,1,Calsoyasuchus_valliceps
5,150,tr,tr,1,Calsoyasuchus_valliceps
6,180,bl,bl,1,Calsoyasuchus_valliceps
7,180,br,bl,0,Calsoyasuchus_valliceps
8,30,bl,tl,0,Calsoyasuchus_valliceps
9,150,tl,tl,1,Calsoyasuchus_valliceps
10,150,bl,bl,1,Calsoyasuchus_valliceps
11,180,tl,tl,1,Calsoyasuchus_valliceps
12,0,tr,bl,0,Calsoyasuchus_valliceps
13,30,br,tl,0,Calsoyasuchus_valliceps
14,0,bl,bl,1,Calsoyasuchus_valliceps
15,0,bl,bl,1,Calsoyasuchus_valliceps
16,60,br,tr,0,Calsoyasuchus_valliceps
